,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Qwen_Qwen2.5_14B_Instruct_zero_shot,1187,1330,366,1442,697,10236,828,408,698,628,796,746,2178,10141,1026,1646,785,624,940,627,961,398,570,1449,1083,10230,10232,878,1057,296
Qwen_Qwen2.5_32B_Instruct_one_shot,1546,1059,719,1371,988,943,10240,468,928,799,552,586,1036,520,874,746,769,907,1019,896,1466,520,856,1091,1121,794,677,997,10234,531
Qwen_Qwen2.5_32B_Instruct_zero_shot,10230,787,623,913,663,864,768,270,419,761,745,726,835,784,833,1055,644,1141,930,708,604,394,617,595,800,864,513,1158,960,445
Qwen_Qwen2.5_3B_Instruct_one_shot,813,719,636,1253,2212,1409,1244,674,677,618,726,10238,1152,936,896,1063,596,662,935,711,10240,600,604,527,1355,549,912,1129,975,917
Qwen_Qwen2.5_3B_Instruct_zero_shot,3435,608,10104,950,10240,1129,1020,423,10239,1219,1139,689,666,1091,1315,1617,773,663,1328,729,10240,441,553,1558,1672,443,1018,1022,1595,382
Qwen_Qwen2.5_7B_Instruct_one_shot,985,531,633,10223,1328,1143,1550,357,10235,10236,540,1109,10236,699,560,10234,10233,10231,1011,688,1845,510,814,10234,2534,10220,2248,868,621,10232
Qwen_Qwen2.5_7B_Instruct_zero_shot,1779,10209,10210,974,1628,1795,807,444,1404,605,1152,10229,859,1030,2521,10231,552,826,1170,770,2190,10231,3414,944,974,6414,674,795,423,3885
Qwen_Qwen2_7B_Instruct_one_shot,695,789,446,1031,1069,907,995,669,270,693,387,481,324,929,880,905,597,422,1645,760,646,394,691,640,1146,635,1333,467,892,335
Qwen_Qwen2_7B_Instruct_zero_shot,762,655,239,917,730,800,822,1555,324,725,231,228,624,502,768,632,746,588,1735,964,5659,539,679,566,1071,669,354,255,403,501
Qwen_Qwen3_0.6B_one_shot,10229,10206,10157,10191,10236,10234,6,10056,10235,10148,10236,10233,10232,10227,10227,10234,10228,10240,10223,10231,7398,10235,10237,10199,10224,1466,10235,10233,10233,10234
Qwen_Qwen3_0.6B_zero_shot,4074,3514,2704,993,4088,4095,4095,4048,4067,4094,3660,3861,4078,4095,4078,1321,4095,5,4084,4076,4095,4077,3611,4095,1084,4095,4095,4095,4095,4079
Qwen_Qwen3_1.7B_one_shot,2599,3029,10239,10239,10222,10240,10239,1079,10225,10228,10239,10231,10230,10239,10236,10232,10225,10240,10239,6093,10239,10062,10226,10008,10220,10212,9839,10239,10238,10239
Qwen_Qwen3_1.7B_zero_shot,3464,10239,10239,10239,5696,10239,10239,10094,10229,9954,10239,5906,10221,10231,10239,10240,8986,10239,10239,10235,10239,10239,10239,10229,10230,10234,10007,10239,10239,10046
Qwen_Qwen3_14B_one_shot,4142,9886,10240,10240,9348,6666,10240,1945,4228,4279,10240,10240,3244,10240,7429,5467,8627,10240,8192,5749,10240,10240,7008,7576,4480,4603,3143,10240,8661,10240
Qwen_Qwen3_14B_zero_shot,2827,10162,10239,10240,2116,5674,10231,4313,4025,3636,8670,4354,3884,10240,9525,3371,6376,10240,8915,6986,10239,10240,6983,8197,3682,10018,3069,10240,10240,10240
Qwen_Qwen3_30B_A3B_Instruct_2507_one_shot,1180,10240,10239,8431,6327,3418,6320,520,4569,3073,7017,1123,1166,10216,4495,936,4278,10240,7762,2506,8785,6111,10240,3042,1767,8586,1853,9811,9719,10229
Qwen_Qwen3_30B_A3B_Instruct_2507_zero_shot,1016,10144,10239,10227,6832,8741,5302,2122,3607,760,10239,1004,1023,10239,3620,849,3358,4789,3822,3669,10240,448,5125,2067,1651,10230,1142,9264,10240,10153
Qwen_Qwen3_30B_A3B_Thinking_2507_one_shot,10223,10239,10240,10240,10239,6856,10240,3958,10235,1988,10239,4411,10226,10238,10231,10229,10227,8213,10240,9012,10239,8251,10240,5721,5170,10240,5749,10239,10240,10239
Qwen_Qwen3_30B_A3B_Thinking_2507_zero_shot,2337,9847,15,8,10230,8348,13,2532,7436,2203,6743,10218,4881,13,8594,4097,8166,8049,13,7130,13,7884,8866,4495,3634,10203,5827,14,15,10229
Qwen_Qwen3_30B_A3B_one_shot,10219,10232,10239,10238,10237,10233,8125,10234,5416,10230,10239,10230,10231,10239,10238,10234,10232,10239,10238,5666,10238,10239,10234,10235,10232,10234,10229,10238,10239,10239
Qwen_Qwen3_30B_A3B_zero_shot,2809,10238,10239,10238,10176,10224,7803,5814,6000,4305,10239,10236,10233,10239,10225,10229,8904,10194,10233,10226,10239,10219,10239,10221,10234,10239,4299,10239,10239,9121
Qwen_Qwen3_32B_one_shot,10235,1497,3088,1798,1439,3576,1362,943,10240,1612,10240,4155,1969,2866,7573,10240,1067,3228,3725,1825,2067,1736,1392,2108,3192,1321,5120,10240,2887,1720
Qwen_Qwen3_32B_zero_shot,3093,10239,10239,10238,9423,10239,8133,5376,5653,3277,10239,5365,2542,10238,6280,4192,5701,7180,9016,6376,10239,10239,7165,4926,3206,6239,3570,10239,10239,8514
Qwen_Qwen3_4B_Instruct_2507_one_shot,3283,10234,10232,3245,10220,4926,10179,10235,3676,10178,10231,1760,10153,10208,4814,10235,10237,10234,10236,10226,10240,10232,10225,9257,10237,10230,10240,10236,10232,10237
Qwen_Qwen3_4B_Instruct_2507_zero_shot,1635,10227,10211,10230,9198,5330,10228,509,10235,10227,10224,1253,835,10232,10234,10231,10228,4868,2905,10232,10240,10231,10233,10235,2172,4526,6071,10232,10235,10231
Qwen_Qwen3_4B_Thinking_2507_one_shot,2095,10239,10240,10239,10238,8583,10239,4163,9935,2142,10239,9970,5641,10239,10239,5786,10239,10240,7,9294,10239,10240,6926,6116,4559,10239,9933,10240,10239,10239
Qwen_Qwen3_4B_Thinking_2507_zero_shot,1353,10240,10238,10239,10238,6538,10240,2874,7667,2506,10240,3980,10100,10238,10240,10136,10238,10240,10171,10240,10239,9917,10221,8264,4408,10240,5235,14,16,10240
Qwen_Qwen3_4B_one_shot,10224,10239,10239,10239,7706,10235,10227,10238,10236,10231,10225,10230,10234,10239,8132,10230,6814,10236,10232,10230,10221,10234,10230,10234,10229,10239,10231,10239,9755,10235
Qwen_Qwen3_4B_zero_shot,10229,10239,10233,10229,10228,10239,4179,10233,10227,10236,8341,10224,2953,10224,10233,10234,10231,10234,10228,10234,10232,10232,10234,10234,3810,10105,10226,10239,10239,10015
Qwen_Qwen3_8B_one_shot,2536,10239,10240,10240,10229,10237,10240,10240,10146,10228,10240,10240,4721,10240,6617,10225,10240,10236,10240,10230,10240,10233,10235,10235,10232,10226,3419,10240,10239,10219
Qwen_Qwen3_8B_zero_shot,10236,10238,10239,10239,10239,10226,10239,10229,5679,10232,10239,10227,10226,10239,9924,9965,10234,10239,10229,9541,10239,10239,10228,10239,10231,10239,10228,10239,10239,10239
THUDM_GLM_4_9B_0414_one_shot,902,1056,834,1159,1793,1207,1018,518,724,897,874,351,990,1077,926,1474,1056,1910,2130,831,8884,404,10240,263,1571,5420,1381,10239,1911,1149
THUDM_GLM_4_9B_0414_zero_shot,1105,2155,589,1533,473,1109,3886,549,756,434,535,581,547,679,670,1088,668,678,1694,782,2242,664,1341,409,931,10240,463,631,586,379
TinyLlama_TinyLlama_1.1B_Chat_v1.0_one_shot,395,323,1692,1684,83,1434,168,222,165,417,1595,153,153,1670,233,364,1718,1679,136,833,199,382,311,236,1619,167,206,504,262,58
TinyLlama_TinyLlama_1.1B_Chat_v1.0_zero_shot,15,8,22,19,408,16,77,366,34,22,18,14,16,412,38,60,11,13,80,14,200,39,20,25,30,16,274,42,15,17
baidu_ERNIE_4.5_21B_A3B_PT_one_shot,2415,6262,4351,4733,4668,7074,4194,4410,2273,1908,4830,3287,953,2058,5146,1744,221,7833,2980,4006,6468,823,3924,4,2662,1914,2102,5296,3892,878
baidu_ERNIE_4.5_21B_A3B_PT_zero_shot,3321,484,1489,1550,1308,5321,1370,1341,1913,741,3637,1406,618,5600,2912,2105,2820,1612,2552,2443,3063,394,719,776,1237,10239,640,8998,4352,884
baidu_ERNIE_4.5_21B_A3B_Thinking_one_shot,10320,10492,189,10238,7234,10402,10488,3304,10419,7400,8496,4614,8531,7170,9506,10060,10492,7379,6811,10397,10518,8892,4324,8777,10693,9615,7395,10347,10026,2125
baidu_ERNIE_4.5_21B_A3B_Thinking_zero_shot,5375,10655,10364,10440,10777,10789,11011,2616,3972,4631,9491,8565,5725,10351,10660,4917,10769,10573,10350,10817,10768,10502,10522,10778,7608,10344,6533,10803,10459,10360
deepseek_ai_DeepSeek_R1_0528_Qwen3_8B_one_shot,10085,10240,10240,10240,10240,10037,10240,10240,7767,10229,10240,10236,10201,10239,10240,5707,10240,10240,10240,10124,10240,10239,10240,10239,8496,10239,10214,10240,10240,10240
deepseek_ai_DeepSeek_R1_0528_Qwen3_8B_zero_shot,10211,163,1597,10240,10240,10240,10238,10240,10183,10202,10240,8302,10127,10240,10240,5941,10240,37,10240,10127,10239,10240,10240,10240,10231,10240,10231,10221,10240,10238
deepseek_ai_DeepSeek_R1_Distill_Llama_8B_one_shot,1972,10239,10240,10240,10238,7578,10239,2066,2679,4499,10240,2143,4676,9161,8689,7870,10240,8997,3571,1371,10239,9268,10239,6871,3638,10239,3994,6425,10240,8445
deepseek_ai_DeepSeek_R1_Distill_Llama_8B_zero_shot,2130,10239,10239,10239,5351,6217,5164,1208,7371,2178,10239,1186,3051,9821,9929,5715,9973,7078,5078,6783,10239,10239,10239,10239,3061,8896,2856,8184,10239,10239
deepseek_ai_DeepSeek_R1_Distill_Qwen_1.5B_one_shot,2416,10239,10239,10240,10239,10113,10239,5092,2939,2675,10239,10239,1942,10239,8118,10239,10239,611,10240,4616,10239,10239,10239,3029,2371,10239,2308,10239,10240,870
deepseek_ai_DeepSeek_R1_Distill_Qwen_1.5B_zero_shot,2360,10240,7332,10239,8002,733,10239,2207,10240,2558,10240,8759,1934,10129,7374,3314,8978,10240,10240,10240,10240,7427,3258,8487,2983,10240,6516,10240,10240,2667
deepseek_ai_DeepSeek_R1_Distill_Qwen_14B_one_shot,2147,10239,9598,5899,8975,3781,10034,4858,4756,756,7888,1078,2646,1127,8329,10240,8386,10194,1038,4042,10240,571,2551,815,2977,5241,2284,8935,10239,714
deepseek_ai_DeepSeek_R1_Distill_Qwen_14B_zero_shot,764,10240,10240,554,5969,6290,9919,3121,3297,412,10240,2797,3674,9399,6895,1450,7864,10240,10240,10239,10239,9797,10240,4773,1464,4976,2994,4600,551,10240
deepseek_ai_DeepSeek_R1_Distill_Qwen_32B_one_shot,826,4971,3960,796,786,7717,6987,528,10240,880,611,1233,965,8427,1030,2750,255,10240,1641,1794,10239,4788,10239,1018,2007,1729,2455,3472,10240,3304
deepseek_ai_DeepSeek_R1_Distill_Qwen_32B_zero_shot,998,9250,922,756,3941,1008,4681,600,931,877,5935,3835,420,1251,3515,563,2504,1476,4962,2531,5024,378,3430,452,1262,1115,2477,2948,9734,856
deepseek_ai_DeepSeek_R1_Distill_Qwen_7B_one_shot,1539,8514,10240,7023,2520,10240,5542,660,3167,2757,10240,1834,1922,10240,5200,2299,6946,10240,8325,4594,10240,8344,8354,2834,3499,10240,10240,9952,10240,10240
deepseek_ai_DeepSeek_R1_Distill_Qwen_7B_zero_shot,1329,10240,10240,10171,10238,10240,6968,5184,5233,3161,10240,2808,2239,10240,5043,4481,8253,7612,10240,5671,10239,10052,10220,3048,2658,10239,2275,6035,10240,4861
dphn_Dolphin_Mistral_24B_Venice_Edition_one_shot,1420,1309,555,1044,10238,762,1281,455,611,420,513,775,1339,1365,455,505,1121,752,829,591,606,399,10238,783,1467,729,714,428,741,375
dphn_Dolphin_Mistral_24B_Venice_Edition_zero_shot,1009,392,551,714,10238,647,738,325,703,485,409,491,613,656,601,250,168,938,1120,379,521,301,449,952,980,518,393,406,617,441
dphn_dolphin_2.9.1_yi_1.5_34b_one_shot,933,229,3589,716,3109,3006,8168,8198,456,880,8223,5824,8045,8423,7793,7839,8307,1716,544,8169,798,1827,3981,1054,7765,1673,7991,8261,397,815
dphn_dolphin_2.9.1_yi_1.5_34b_zero_shot,110,931,8411,7965,970,1606,673,1019,2886,1011,381,966,666,646,721,6994,8754,1727,696,8030,472,503,607,795,8212,468,8475,602,396,846
google_gemma_2b_it_one_shot,69,2,1,249,74,84,1,1,2,23,83,49,13,1,2,1,2,27,1,1,1,8,22,7,1,2,26,1,26,9
google_gemma_2b_it_zero_shot,363,458,254,373,337,643,251,263,173,290,291,189,138,152,598,245,272,158,269,93,254,235,310,232,372,152,195,132,459,304
google_gemma_3_1b_it_one_shot,9819,1351,7525,952,10554,1313,11194,834,1758,1826,1192,10417,11688,1752,1145,9164,1342,3182,14065,1435,9464,10760,1647,10680,7979,1943,617,7972,2296,8985
google_gemma_3_1b_it_zero_shot,12424,1336,1015,1896,8655,11947,11676,447,6027,1323,16959,9995,10373,1617,1238,638,611,7086,478,15200,9501,11706,9774,9155,1030,9470,980,15361,689,15196
google_gemma_3_1b_pt_one_shot,9325,257,13420,10811,105,18,11116,10243,1257,10482,11933,13806,9940,11017,574,11484,14205,9191,11031,852,9710,10053,11143,6453,9540,10934,21,2851,1010,6833
google_gemma_3_1b_pt_zero_shot,10791,166,263,45,12584,721,228,506,327,13,11761,12738,286,0,13852,9726,45,13805,153,12799,44248,194,60,9439,11754,204,54,151,73,13336
google_gemma_7b_it_one_shot,680,213,383,97,640,149,486,44,224,127,67,872,225,72,528,65,417,301,548,47,281,159,264,283,270,408,119,607,313,191
google_gemma_7b_it_zero_shot,380,359,420,293,768,374,398,527,319,278,93,1082,353,319,307,279,424,208,109,329,447,163,135,566,271,161,297,254,277,866
google_vaultgemma_1b_one_shot,673,206,117,122,193,279,70,891,511,195,715,721,727,1157,711,649,695,120,1082,763,950,967,1060,670,889,741,166,1029,0,779
google_vaultgemma_1b_zero_shot,915,795,358,385,1177,1310,943,11,1398,459,1039,33,577,1306,897,905,895,1006,1009,1051,1325,202,112,832,1273,173,693,34,0,1080
huihui_ai_Huihui_Qwen3_8B_abliterated_v2_one_shot,2952,10233,10240,10230,4769,10231,10234,9401,10235,2754,10240,1834,1461,10240,6769,10240,10230,10234,10240,10227,10240,773,3290,10230,2764,10240,3797,7822,10231,10236
huihui_ai_Huihui_Qwen3_8B_abliterated_v2_zero_shot,10233,10238,10228,10239,8086,10234,10239,10231,5291,818,7984,10235,4592,10239,10222,5340,10240,10225,5732,9473,10239,10232,10239,10235,2210,10164,3484,10239,10231,10202
huihui_ai_Huihui_gpt_oss_20b_BF16_abliterated_one_shot,3721,10240,10240,10240,10240,10240,10227,3959,10240,4868,10118,1257,1852,10240,10239,6082,10240,8410,9860,8114,10240,10240,10239,10240,5622,10240,3631,10240,10240,10240
huihui_ai_Huihui_gpt_oss_20b_BF16_abliterated_zero_shot,10240,10240,10240,10240,10239,10240,3184,3970,3325,2353,5718,3052,2178,10240,9404,6156,10240,10240,10240,9193,10240,10240,10240,10239,3465,10240,2099,7324,10240,10240
ibm_granite_granite_3.3_2b_instruct_one_shot,1010,1341,565,2716,1638,729,10239,10161,7105,694,3352,10111,1001,1009,948,927,798,738,986,741,1202,4942,9178,1501,4641,10187,817,957,596,10100
ibm_granite_granite_3.3_2b_instruct_zero_shot,793,615,428,1229,10239,5952,1612,581,590,1280,9552,1155,1974,1122,1706,599,9585,965,1252,3488,3380,1228,608,428,2401,2726,1222,902,3006,635
internlm_internlm2_chat_20b_one_shot,595,566,440,725,539,482,174,459,738,503,1030,607,1149,469,605,1135,540,379,347,746,1425,501,222,790,294,1313,620,737,1200,534
internlm_internlm2_chat_20b_zero_shot,919,406,428,991,447,587,438,1250,594,494,402,480,779,2599,617,310,860,968,869,1205,507,405,662,694,823,592,583,449,391,554
meta_llama_Llama_2_7b_chat_hf_one_shot,6,6,32,14,16,57,10,17,20,16,21,29,32,14,26,6,24,623,43,24,28,14,28,37,13,26,73,21,389,12
meta_llama_Llama_2_7b_chat_hf_zero_shot,3,10,3,22,11,11,10,13,354,40,149,15,272,3,70,3,217,64,3,689,258,3,23,207,480,3,477,142,3,3
meta_llama_Llama_2_7b_hf_one_shot,3223,4151,3748,4744,4201,3825,4060,4270,1555,101,4921,5673,119,65,4249,4149,4865,3807,4162,47,4270,4305,4416,115,3992,3757,4141,647,3109,468
meta_llama_Llama_2_7b_hf_zero_shot,18,16,262,771,21,300,61,4410,3520,430,553,245,352,24,170,671,3994,307,6900,4751,3827,273,13507,6,1790,234,3502,127,965,4105
meta_llama_Llama_3.1_8B_Instruct_one_shot,2044,693,548,5207,12097,608,5,5,465,609,770,662,724,12229,5,12119,732,10465,5,570,751,495,9589,883,1360,1072,1423,2934,2285,11266
meta_llama_Llama_3.1_8B_Instruct_zero_shot,1285,555,552,7476,5,4660,575,957,648,746,11874,433,2641,1119,835,10463,10167,10714,679,656,666,794,758,10201,10148,753,566,10300,10754,575
meta_llama_Llama_3.2_1B_Instruct_one_shot,10846,10531,827,435,11697,500,11614,1182,11609,2,322,32,1393,10383,1350,11180,11810,11537,628,13571,453,444,11826,1011,12153,1058,514,1602,691,634
meta_llama_Llama_3.2_1B_Instruct_zero_shot,1267,323,536,950,10304,1783,10175,813,482,752,288,2076,1520,2577,1147,1449,1980,642,1440,11677,440,402,440,1424,595,323,488,1224,433,543
meta_llama_Llama_3.2_1B_one_shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
meta_llama_Llama_3.2_1B_zero_shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meta_llama_Llama_3.2_3B_Instruct_one_shot,844,643,533,1343,9895,463,949,1939,1257,760,10672,0,857,614,718,9337,1740,649,598,864,1409,369,677,676,1798,435,495,522,1069,682
meta_llama_Llama_3.2_3B_Instruct_zero_shot,1586,838,981,985,10245,720,724,1640,828,692,647,820,1034,10323,946,1282,10247,1426,11376,703,10606,352,1209,791,1286,1188,764,783,731,512
meta_llama_Llama_3.2_3B_one_shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meta_llama_Llama_3.2_3B_zero_shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meta_llama_Meta_Llama_3_8B_Instruct_one_shot,390,406,414,1394,618,758,925,1220,341,364,457,8750,396,3,424,448,726,795,723,10755,658,115,962,139,1498,273,298,442,3,8573
meta_llama_Meta_Llama_3_8B_Instruct_zero_shot,867,778,591,851,826,498,1015,197,794,333,306,721,975,1292,1328,928,1008,931,916,7,1053,324,864,306,4367,639,967,478,15,697
meta_llama_Meta_Llama_3_8B_one_shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meta_llama_Meta_Llama_3_8B_zero_shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft_Phi_3.5_mini_instruct_one_shot,868,2236,449,1772,1449,665,941,1175,424,1861,322,822,501,1031,913,346,1494,844,3186,326,495,445,927,544,1338,2375,307,493,720,322
microsoft_Phi_3.5_mini_instruct_zero_shot,2316,715,657,880,640,544,2994,732,686,932,601,386,901,1607,717,2393,1233,1274,2804,581,1078,483,794,1124,2230,1386,888,559,1045,669
microsoft_Phi_4_mini_instruct_zero_shot,992,672,703,901,515,812,845,406,675,819,443,342,1236,665,1145,517,745,693,840,465,1110,340,520,363,1342,370,386,1331,830,351
microsoft_Phi_4_reasoning_one_shot,2710,6961,207,6657,7728,5252,51,684,1989,787,10240,305,2520,10240,8479,4154,7369,2895,5954,6308,10238,10231,64,6172,3333,4050,1966,0,10240,8099
microsoft_Phi_4_reasoning_plus_one_shot,10224,10240,10240,10240,6113,10128,10213,126,2095,957,7827,3258,1715,10240,10240,1469,8897,10240,117,4295,10237,2769,5841,4252,3387,116,0,6973,1118,10240
microsoft_Phi_4_reasoning_plus_zero_shot,1339,6887,10240,10240,10239,5857,4432,512,2765,853,2763,1879,1287,10239,3285,2839,8485,10240,7533,3279,10239,9643,3453,5531,1648,6677,3491,9597,10240,10240
microsoft_Phi_4_reasoning_zero_shot,5049,7378,9529,5650,7317,2767,4815,1920,1248,1162,3140,1696,1757,121,5750,1535,978,10240,5277,3786,10239,2694,3375,5567,2029,7770,1747,8634,10240,6801
microsoft_phi_4_mini_instruct_one_shot,465,427,456,700,884,914,730,6,425,623,351,887,843,695,1310,665,1010,854,584,741,732,448,543,14,1247,1045,551,636,445,273
microsoft_phi_4_one_shot,5819,0,8886,9873,0,9946,0,4376,7380,7142,7915,360,8742,9251,9950,0,932,0,6516,0,10238,76,0,6399,0,0,1938,9441,2712,0
microsoft_phi_4_zero_shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai_Mistral_7B_Instruct_v0.1_one_shot,314,10238,614,433,10238,10238,355,5824,345,6787,487,622,276,434,288,751,221,10238,1074,2,853,200,10238,787,10238,442,10238,455,10238,216
mistralai_Mistral_7B_Instruct_v0.1_zero_shot,15,15,14,10230,10238,26,462,10238,10238,434,1053,584,73,18,87,230,420,37,580,16,78,18,1376,546,34,57,10237,16,1733,108
mistralai_Mistral_7B_Instruct_v0.2_one_shot,787,36,368,1698,1380,803,385,257,870,571,333,455,694,1001,973,784,465,835,1309,1166,16,98,847,448,1569,440,739,751,463,561
mistralai_Mistral_7B_Instruct_v0.2_zero_shot,681,688,493,728,808,636,1219,1228,710,672,485,608,857,354,1543,497,604,1092,586,489,1438,246,343,446,961,808,584,566,652,592
mistralai_Mistral_7B_Instruct_v0.3_one_shot,494,10241,437,1424,770,10241,209,624,362,10241,538,1629,568,10241,1211,726,10241,732,10241,10241,10241,393,1277,527,10241,608,721,10241,0,370
mistralai_Mistral_7B_Instruct_v0.3_zero_shot,10241,729,478,706,414,1213,895,283,520,612,857,486,166,725,1772,115,232,763,903,10241,10239,553,1013,790,892,1086,815,761,371,1376
mistralai_Mistral_Small_Instruct_2409_one_shot,350,497,541,676,10240,716,523,528,543,526,10240,375,666,516,256,884,10240,872,838,323,724,599,363,727,689,355,222,297,392,323
mistralai_Mistral_Small_Instruct_2409_zero_shot,729,833,284,585,594,383,1034,1064,449,516,563,351,726,865,1245,901,716,723,10240,594,763,267,830,387,1205,302,532,282,427,420
moonshotai_Moonlight_16B_A3B_Instruct_one_shot,9420,8438,9030,9831,7712,8309,9068,8492,8090,8875,8924,8525,8674,7750,8273,8420,9353,8345,8194,9669,7682,8306,7006,7621,10505,9293,7949,9655,8650,8937
moonshotai_Moonlight_16B_A3B_Instruct_zero_shot,13123,9072,8204,9957,8009,9692,9247,9160,9197,8617,8199,8286,9058,9020,8723,8723,8846,8080,9764,8808,419,8624,9336,8295,8465,6837,736,7511,7941,9617
moonshotai_Moonlight_16B_A3B_one_shot,259,862,777,357,7211,914,616,583,789,711,388,669,609,737,207,683,1399,731,1574,583,383,187,257,383,992,78,365,854,941,52
moonshotai_Moonlight_16B_A3B_zero_shot,512,9971,427,490,834,725,325,312,64,382,673,368,424,1097,10159,8386,504,1980,462,10273,379,626,401,668,455,258,179,313,9475,379
nvidia_AceReason_Nemotron_1.1_7B_one_shot,3832,9406,10240,10240,7553,10239,5033,6744,6266,2513,10239,4546,4123,10239,5762,6205,6547,10240,4916,6015,10240,10240,33,6969,2105,10239,5071,7069,10240,10239
nvidia_AceReason_Nemotron_1.1_7B_zero_shot,2403,9979,10240,10240,5560,10240,10163,7270,5393,3195,10240,6919,3410,10240,10240,6653,10240,10240,10240,6629,10240,10240,10240,10182,2648,10240,4864,10240,10240,10240
nvidia_AceReason_Nemotron_14B_one_shot,2892,10241,10240,10239,1385,8484,10240,2487,6482,949,1013,4308,4002,10239,8668,5191,5302,10240,7254,8410,10240,10240,6347,1658,3504,9184,3230,6653,10240,10241
nvidia_AceReason_Nemotron_14B_zero_shot,878,10081,10240,10240,10240,6049,5389,5895,5828,2659,6893,3968,2064,10240,8193,2496,10240,4163,5894,8940,10240,281,7237,4972,3191,10240,7528,5991,900,10240
